"name","clName","price","SKU","bcSKU","category","description","price_type","cost","tax_rates","quantity","clover_ID",
"Strawberry Banana Gummy Bears [Size=32 oz.]","Strawberry Banana Gummy Bears/2lbs","10.95","275-32","275-32","Candy/Gummy",,"Fixed","0","DEFAULT","8","2HR49YATWS2JJ",
"Banana Gummy Bears [Size=32 oz.]","Banana Gummy Bears/2lbs","10.95","227-32","227-32","Candy/Gummy",,"Fixed","0","DEFAULT","9","WYRAVHCP1RWTJ",
"Orange Gummy Bears [Size=32 oz.]","Orange Gummy Bears/2lbs","10.95","222-32","222-32","Candy/Gummy",,"Fixed","0","DEFAULT","7","5QMWRYP725QV6",
"Watermelon Gummy Bears [Size=32 oz.]","Watermelon Gummy Bears/2lbs","10.95","274-32","274-32","Candy/Gummy",,"Fixed","0","DEFAULT","4","DAXRGE1T6F93P",
"Jelly Belly Jelly Beans (1 lb.)","Jelly Belly Jelly Beans/16oz","9.95","JBJB","JBJB","Candy/Novelty",,"Fixed","0","DEFAULT","16","JXK470JW5XTKM",
"Madelaine Milk Chocolate Playing Cards","Milk Chocolate Playing Cards/10ct","4.95","511-5072","511-5072","Candy/Novelty;Chocolate",,"Fixed","0","DEFAULT","14","2AEXB3JVYRQMC",
"Candy Coated Chocolate Rocks","Candy Coated Choco Rocks","4.95","513-3596","513-3596","Chocolate",,"Fixed","0","DEFAULT","14","Y9GZRQMXANXF2",
"Milk Chocolate Casio Chips","Milk Chocolate Casino Chips","7.95","515-8282","515-8282","Chocolate",,"Fixed","0","DEFAULT","15","12BT0B8KW3NE2",
"Milk Chocolate Balls By Madelaine [Type=Baseballs]","Milk Chocolate Baseballs","6.95","519-BA","519-BA","Chocolate",,"Fixed","0","DEFAULT","11","Q4QBMDDNQSMGW",
"Milk Chocolate Gold Coins","Milk Chocolate Golfballs/8oz","6.95","516-8887","516-8887","Chocolate",,"Fixed","0","DEFAULT","17","2F5C0KR2EBCZ8",
"Imported Pistachios [Size=2.5 lb.]","Imported Pistachios/2lbs","39.95","491-25","491-25","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed","0","DEFAULT","6","TJHAPP9VW99NM",
"Jujubes","Jujubes","1.69","41420128172",,,,"Fixed","0","Rhode Island Sales Tax","13","0YETGBFMT45J4",
"Bottle Cap","Bottle Cap","1.69","79200358860",,,,"Fixed","0","DEFAULT","4","DNXYS5S1GXWKR",
"Charleston Chew Vanilla","Charleston Chew Vanilla","1.25","ch071720531303",,,,"Fixed","0",,"23","N9W5ZYPKK95DJ",
"Sour Power Straws Blue Raspberry","Sour Power Straws Blue Raspberry","0.99","29126150659",,,,"Fixed","0","Rhode Island Sales Tax","8","5KF7FD87Q0EMR",
"Sugar Babies","Sugar Babies","1.39","14200533107",,,,"Fixed","0","Rhode Island Sales Tax","17","AHKYA0R0E3MMP",
"Sour Powers Straws Cotton Candy","Sour Powers Straws Cotton Candy","0.99","29126150307",,,,"Fixed","0","Rhode Island Sales Tax","41","TNETM4FZHN804",
"Charleston Chew Strawberry","Charleston Chew Strawberry","1.25","71720531204",,,,"Fixed","0","DEFAULT","4","N17EPZAP44ZC6",
"Charleston Chew Chocolatey","Charleston Chew Chocolatey","1.25","71720531105",,,,"Fixed","0","DEFAULT","19","K90HFMM57A9TR",
"Rocky Road","Rocky Road","0.99","70602489008",,,,"Fixed","0",,"3","1FGS9VYXQTAB4",
